"Username (3-30 seven-bit ASCII characters, each either an uppercase letter, a lowercase letter, a digit or a dash symbol “-”)",Hostname (Dynamic DNS address),Port (Default: 6283),,
password,,,,
tdulcet,tealdulcet.ddns.net,6283,,
patter5,megmurry.ddns.net,6283,,
relsqui,cupcake.chiliahedron.com,6283,,
pyrrh,souffle.chiliahedron.com,6283,,
aarong,TBD,6283,,
mancat,inchworm.mindtax.net,6283,,
dom,mahan.mindtax.net,6283,,
brodie,solar.noip.me,6283,,
chupacabra,chupa-cabra.ddns.net,6283,,
paolo2,pirr.ddns.net,6283,,
mrme,mrme.ddns.net,6283,,
manpreet20,manpreet.ddns.net,6283,,
huyng90,huyng90.ddns.net,6283,,
rhatchet,pi.arenjae.com,6283,,
natreed,natreed.ddns.net,6283,,
leng,lengpi.ddns.net,6283,,
aldridge85,csjosh.ddns.net,6283,,
etsai,etsai.ddns.net,6283,,
jbucklin,jbucklin.ddns.net,6283,,
echo,barton.cs.pdx.edu,6283,,Note: TauNet echo server
mantron,mantron.ddns.net,6283,,
jojen2,itsjonnyjyo.ddns.net,6283,,
cort,wyeast.ddns.net,6283,,
rubear,131.252.211.242,6283,,